name,addition,image,num_of_people,link,time_to_prepare,time_to_cook,guide
Cá lóc hấp bầu nguyên con ngon lạ miệng,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/calochapbau-(1).jpg,2 người,http://www.amthuc365.vn/cong-thuc/3407-ca-loc-hap-bau-nguyen-con-ngon-la-mieng.html,Chuẩn bị: 20 phút,Thực hiện: 40 phút,"Cá lóc sống mua về đánh vảy, làm sạch để ráo nước. Cá để nguyên con bạn nhé!"
Tự làm Nem chua,"Thịt phải thiệt là tươi, mới ra lò thì cây nem mới ngon. Bì tự luộc và xắt sợi thì dùng làm ngay được, còn nếu bì",http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/tu-lam-nem-chua/b34e.jpg,N/A,http://www.amthuc365.vn/cong-thuc/43-tu-lam-nem-chua.html,Chuẩn bị: 10 phút,Thực hiện: 30 phút,"Trộn đều và cho thính cùng chút đường vào, trộn lên nữa lúc này nó sẽ dính tay.Trải lá chuối ra, gói vào cuốn chặt tay để 24 tiếng đồng hồ thì có thể dùng được."
Thịt ba chỉ rán cuộn giá,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/thit-ba-chi-ran-cuon-gia/e7d4.jpg,4-6 người,http://www.amthuc365.vn/cong-thuc/44-thit-ba-chi-ran-cuon-gia.html,Chuẩn bị: 30 phút,Thực hiện: 20 phút,"Thịt ba chỉ thái mỏng thành những miếng dài khoảng 10cm hoặc có thể mua tại các siêu thị đã được cắt lát mỏng.Rã đông thịt khi mua về, cho tẩm ướp với bột nêm, dầu mè, xì dầu, đường, hạt tiêu vừa ăn.Để ngấm 30 phút."
Khoai môn hat sen chiên xù,Tán sơ hạt sen để khi ăn cảm nhận được độ bùi của hạt sen. Chiên khoai với lửa vừa để nhân chín đều.,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/Khoai-môn-hat-sen-chiên-xù.jpg,4-5 người,http://www.amthuc365.vn/cong-thuc/3398-khoai-mon-hat-sen-chien-xu.html,Chuẩn bị: 10 phút,Thực hiện: 30 phút,"Khoai môn gọt vỏ, chẻ tư, cắt lát mỏng. Hạt sen luộc chín, tán sơ. Trứng gà đánh tan."
Kimbap – cơm cuốn rong biển kiểu Hàn Quốc,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/kimbap-com-cuon-rong-bien-kieu-han-quoc/621b.jpg,N/A,http://www.amthuc365.vn/cong-thuc/47-kimbap-com-cuon-rong-bien-kieu-han-quoc.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Trải tấm tre/giấy nhôm lên thớt, đặt một tấm lá rong biển lên trên. Lưu ý, để mặt ráp của lá ngửa lên trên, mặt nhẵn ở dưới. Mặt ráp sẽ giúp cơm dinh chắc hơn vào lá rong."
Gỏi cuốn tôm thịt,Các bạn có thể xem video cách làm,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/8aaba5f68ff9bd073d0534ba6d36a280.jpg,2 người,http://www.amthuc365.vn/cong-thuc/46-goi-cuon-tom-thit.html,Chuẩn bị: 20 phút,Thực hiện: 20 phút,"Luộc thịt ba chỉ với 1 thìa cà phê muối, để lửa vừa và luộc trong 25-35 phút tùy độ dày miếng thịt. Cho thịt vào ngâm trong nước lạnh để tránh bị thâm đen. Cắt lát mỏng."
Nấu canh rau rền với tôm tươi - dân dã mát lành,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/rau-rền-nấu-tôm.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3406-nau-canh-rau-ren-voi-tom-tuoi-dan-da-mat-lanh.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Tôm lột vỏ rửa sạch bỏ chỉ đen, rồi băm nhỏ, ướp khoảng 30 phút với 1/4 thìa cà phê nước mắm, ¼ thìa cà phê hạt nêm và một ít tiêu đen xay."
Thịt heo cuốn táo,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/thit-heo-cuon-tao/ae28.jpg,N/A,http://www.amthuc365.vn/cong-thuc/48-thit-heo-cuon-tao.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Cắt táo ra làm 14 phần, bỏ ruột. Ngâm táo trong nước có pha tí muối. Vớt ra để ráo nước.Rắc đều lên miếng thịt heo một ít muối tiêu. Đặt táo lên miếng thịt cuốn lại. Trước khi chiên, rây đều một ít bột bắp lên cuốn thịt - táo."
Chè trôi nước nhân vừng đen gợi tuổi thơ trở về,Nếu không thích cho nước cốt dừa bạn có thể thay bằng nước nóng ấm nhé! Chúc bạn thành công!,http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Cong_Thuc/2015/3/chè-trôi-nước-nhân-vừng-đen.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3408-che-troi-nuoc-nhan-vung-den-goi-tuoi-tho-tro-ve.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"150gr đường vàng, 500ml nước, gừng thái chỉ, 1 chút xíu muối cho hết vào nồi đun liu riu"
Bánh ít trần sốt mỡ hành,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/banh-it-tran-sot-mo-hanh/b675.jpg,N/A,http://www.amthuc365.vn/cong-thuc/51-banh-it-tran-sot-mo-hanh.html,Chuẩn bị: 10 phút,Thực hiện: 30 phút,"Nhào bột nếp: cho 2 cốc bột thì tầm 1 cốc nước vào trộn đều lên cho bột dẻo, không khô, không ướt rồi để bột nghỉ tầm 15 phút."
Cá bớp nhúng giấm,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/ca-bop-nhung-giam/8963.jpg,N/A,http://www.amthuc365.vn/cong-thuc/52-ca-bop-nhung-giam.html,Chuẩn bị: 10 phút,Thực hiện: 30 phút,"Phi lê cá bớp rửa sạch, xắt lát mỏng, ướp với dầu ăn, muối, hạt nêm, đường, tiêu.Hẹ, rau các loại nhặt rửa sạch. Thơm gọt vỏ, xắt miếng vừa ăn, chừa lại một ít băm nhuyễn. Sả đập giập. Gừng thái sợi."
Bò sốt me ngon ngon đưa cơm,"- 2 muỗng canh nước me, 1 chén nước lạnh, 1 muỗng canh đường, 1 muỗng cà phê tiêu hòa chung trong một bát.",http://gl.amthuc365.vn/thumbnails/415/305///uploads/i/Tin_Tuc/2015/3/bò-sốt-me.jpg,2 người,http://www.amthuc365.vn/cong-thuc/3405-bo-sot-me-ngon-ngon-dua-com.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Thịt bò rửa sạch thái lát mỏng, sau đó chần qua nước sôi, vớt ra đĩa rồi đem ướp với dầu hào, xì dầu."
Thăn lợn cuộn sữa dừa,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/than-lon-cuon-sua-dua/095c.jpg,N/A,http://www.amthuc365.vn/cong-thuc/49-than-lon-cuon-sua-dua.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Thịt thái mỏng, to bản. Dùng chày dần miếng thịt cho mềm. 50g cà rốt thái sợi. 100g cà-rốt còn lại và khoai tây thái khúc, tỉa răng cưa."
Thịt xông khói cuốn giá,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/thit-xong-khoi-cuon-gia/db29.jpg,N/A,http://www.amthuc365.vn/cong-thuc/54-thit-xong-khoi-cuon-gia.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Rửa sạch giá và thái sợi cà rốt rồi để ráo.Nhúng chần hành qua nước sôi. Lưu ý là chỉ nhúng qua cho mềm và dai là được, đừng làm quá thì không dùng hành buộc được.Tiếp theo là lấy một ít giá, một ít cà rốt đặt vào miếng thịt xông khói đã thái mỏng rồi cuốn, cuối cùng là dùng hành lá buộc lại."
Gỏi cuốn rau má,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/goi-cuon-rau-ma/038b.jpg,N/A,http://www.amthuc365.vn/cong-thuc/45-goi-cuon-rau-ma.html,Chuẩn bị: 20 phút,Thực hiện: 35 phút,"Trải miếng bánh tráng, cho rau má, cà rốt, củ cải trắng, bún và thịt vào giữa, cuốn lại. Ăn kèm tương đậu phộng.Làm tương: cho tương hạt, hành phi, nước lọc, bơ đậu phộng vào máy xay nhuyễn. Đun sôi hỗn hợp, nêm hạt nêm Knorr, đường, rắc đậu phộng đập dập, cho ớt bằm lên."
Tôm cuộn xoài chín,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/tom-cuon-xoai-chin/e7fb.jpg,N/A,http://www.amthuc365.vn/cong-thuc/50-tom-cuon-xoai-chin.html,Chuẩn bị: 10 phút,Thực hiện: 10 phút,"Tôm rửa sạch, lột vỏ, bỏ đầu, xẻ lưng chỉ đen, ướp với hạt nêm, tiêu khoảng 10 phút. Cho tôm vào lò vi sóng, đặt tôm ở chế độ Micrro khoảng 4 - 5 phút."
Bò cuộn măng tây,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/bo-cuon-mang-tay/3cd5.jpg,N/A,http://www.amthuc365.vn/cong-thuc/56-bo-cuon-mang-tay.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Thịt bò rửa sạch, lau khô nước, thái miếng mỏng to bản. Dùng búa đập thịt giần giần cho thịt bò được mềm. Ướp thịt bò với ít măm muối, bột ngọt, đường, hạt tiêu và ít dầu ăn. Ướp khoảng 30 phút."
Cuốn Huế,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/cuon-hue/93bb.jpg,N/A,http://www.amthuc365.vn/cong-thuc/58-cuon-hue.html,Chuẩn bị: 15 phút,Thực hiện: 25 phút,"Thịt ba rọi cạo sạch lông, rửa sạch, cho vào nồi luộc cùng với ít hạt nêm vừa miệng. Trái vả rửa sạch, bổ đôi, xắt miếng mỏng. Giá đỗ rửa sạch, trần chín. Xà lách, rau thơm nhặt, rửa sạch, xắt miếng dài, mỏng."
Trứng cuộn hành xanh,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/trung-cuon-hanh-xanh/204f.jpg,N/A,http://www.amthuc365.vn/cong-thuc/57-trung-cuon-hanh-xanh.html,Chuẩn bị: 10 phút,Thực hiện: 10 phút,"Hành xanh nhặt rửa sạch, vẩy khô nước, xắt nhỏ. Trứng đập ra bát, đánh tan, nêm ít mắm, bột ngọt, dầu ăn và hành xắt vào quậy đều. Thêm 1/2 thìa cà phê nước lạnh vào cho trứng khi chiên được mềm."
Phở cuốn Hà Nội,Các bạn có thể xem video cách làm,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/934c4e4e12134ad28718a32ae1df901f.jpg,4-5 người,http://www.amthuc365.vn/cong-thuc/59-pho-cuon-ha-noi.html,Chuẩn bị: 10 phút,Thực hiện: 40 phút,"Rải bánh phở ra đĩa hoặc thớt, cho rau xà lách cùng các loại rau khác vào rồi thêm thịt bò lên trên rau, sau đó cuộn tròn bánh phở lại. Tiếp tục làm như vậy cho đến khi hết bánh phở. Thưởng thức cùng nước mắm pha nhạt."
Thịt ba rọi cuộn bắp non,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/thit-ba-roi-cuon-bap-non/6d43.jpg,N/A,http://www.amthuc365.vn/cong-thuc/53-thit-ba-roi-cuon-bap-non.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Thịt ba rọi rửa sạch, xắt bản mỏng, dài. Bắp non, dưa leo, ớt rửa sạch. Dưa leo xắt khoanh, ớt xắt quân cờ."
Sushi cuốn,Các bạn có thể xem video cách làm,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/1d443d80f59d5bf317ebfc85edbe4b23.png,3-4 người,http://www.amthuc365.vn/cong-thuc/63-sushi-cuon.html,Chuẩn bị: 10 phút,Thực hiện: 10 phút,"Cách cuốn:Trải tấm cuốn sushi lên mặt phẳng. Bên trên đặt miếng rong biển lên.Múc cơm trải bằng đều lên trên miếng rong biển, chừa phần đầu miếng rong biển khoảng 1 cm, phần cuối khoảng 1-3 cm. (để khi cuốn xong trở thành mép khép 2 cạnh của rong biển, làm cho cơm không bị lòi ra)."
Ức gà cuốn táo và hành tây thắng vàng,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/uc-ga-cuon-tao-va-hanh-tay-thang-vang/4c9e.jpg,N/A,http://www.amthuc365.vn/cong-thuc/64-uc-ga-cuon-tao-va-hanh-tay-thang-vang.html,Chuẩn bị: 10 phút,Thực hiện: 15 phút,"Gia nhiệt lò nướng 375°F (khoảng 180℃).Xếp đều 1 lớp thịt muối vào chảo. Bắt lên bếp, vặn lửa vừa. Chiên thịt muối mỗi mặt chỉ vừa chín sơ, sao cho thịt muối ra bớt mỡ nhưng vẫn còn mềm để cuốn dễ dàng, và cũng không được chiên chín giòn vì thịt muối sẽ được làm chín giòn khi nướng trong lò.Cắt theo bề ngang miếng ức gà chia ra làm 2 lát mỏng. Bao lên trên thịt một lớp nylon và dùng búa dập thịt, dập cho thịt có bề dày bằng nhau. Rắc một ít muối tiêu đều lên thịt."
Thịt muối cuốn củ cải đỏ,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/thit-muoi-cuon-cu-cai-do/3a37.jpg,N/A,http://www.amthuc365.vn/cong-thuc/62-thit-muoi-cuon-cu-cai-do.html,Chuẩn bị: 10 phút,Thực hiện: 15 phút,"Cắt chiều dài miếng thịt muối ra làm đôi. Chảo nóng, xếp thịt muối đều lên chảo.Để to lửa vừa, khoảng nấc 6. Đợi cho thịt muối ra mỡ và săn lại một mặt mới chuyển sang mặt còn lại, tiếp tục để yên cho thịt ra hết mỡ, miếng thịt săn lại."
Măng cuốn thịt gà hấp,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/mang-cuon-thit-ga-hap/8d8d.jpg,N/A,http://www.amthuc365.vn/cong-thuc/67-mang-cuon-thit-ga-hap.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Măng củ thái lát tròn thật mỏng.Ức gà xay nhuyễn. Trộn thịt ức gà với trứng, hành lá, rau răm, hạt nêm và tiêu."
Bánh mì cuộn xúc xích,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/c9d66460d3f1d5924c8a092443a18e70.jpg,3-4 người,http://www.amthuc365.vn/cong-thuc/65-banh-mi-cuon-xuc-xich.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Sau khi đã trộn thật kỹ, các bạn lấy bột ra ngoài và bắt đầu dùng tay nhào khoảng 2 phút."
Làm bánh cuốn bằng chảo không dính,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/3b031b1d549f424048ae88edb9fd0a8b.jpg,1-2 người,http://www.amthuc365.vn/cong-thuc/55-lam-banh-cuon-bang-chao-khong-dinh.html,Chuẩn bị: 15 phút,Thực hiện: 60 phút,"Bột bánh:Bột bánh bao gồm bột gạo và bột năng. Nếu mua bột bánh cuốn sẵn thì lưu ý là phải cho thêm nước nhiều hơn so với hướng dẫn của họ. Một gói bột bánh cuốn loại 400g thì pha với 1400ml nước. Còn nếu không có gói bột bánh cuốn sẵn thì pha bột theo tỉ lệ: 1 bát bột gạo, 2 thìa bột năng và 3 bát nước (Nếu thích ăn bánh cuốn không dai nên cho nhiều bột gạo. Nếu thích ăn bánh cuốn dai thì cho nhiều bột năng lên là được )Sau đó cho 1 thìa dầu ăn và ít muối vào ngâm bột khoảng 3-4 tiếng."
Nem trái cây,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/nem-trai-cay/3399.jpg,N/A,http://www.amthuc365.vn/cong-thuc/60-nem-trai-cay.html,Chuẩn bị: 15 phút,Thực hiện: 10 phút,"Trái cây cắt lát dài nhỏ khoảng ngón tay. Bánh tráng nhúng nước thấm qua giấy cho ráo.Cho trái cây, hạt dẻ nặn thêm chút chanh vào cuốn lại như cuốn gỏi cuốn vậy nhé."
Chả cá cuộn trứng hấp,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/08/cha-ca-cuon-trung-hap/bd32.jpg,N/A,http://www.amthuc365.vn/cong-thuc/61-cha-ca-cuon-trung-hap.html,Chuẩn bị: 10 phút,Thực hiện: 20 phút,"Cà rốt, đậu ve cắt nhỏ bằng hạt lựu. Bắt nồi nước có cho vào tí muối lên bếp, luộc sơ cà rốt, đậu Hà Lan (hoặc đậu ve). Đổ ra để ráo nước."
Thịt cuộn xốt mù tạt vàng,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//news/2012-03-08.08.58.51-24fb.jpg,3-4 người,http://www.amthuc365.vn/cong-thuc/68-thit-cuon-xot-mu-tat-vang.html,Chuẩn bị: 15 phút,Thực hiện: 35 phút,"Cho giò sống vào giữa miếng thịt, cuộn tròn, dùng chỉ bó chặt. Nấu chín cuốn thịt với nước dùng, bột nghệ."
Bánh mật cho ngày Rằm tháng 7,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/banh-mat-cho-ngay-ram-thang-7/ce41.jpg,N/A,http://www.amthuc365.vn/cong-thuc/73-banh-mat-cho-ngay-ram-thang-7.html,Chuẩn bị: 45 phút,Thực hiện: 360 phút,"Gạo nếp chọn loại tốt, rửa sạch và ngâm qua đêm.Trước khi chuẩn bị làm bánh, bỏ gạo ra chậu lớn, thêm nước kiềm vào. Trộn tất cả mọi gia vị vào gạo để trong phòng khoảng 15 phút."
Thịt xông khói cuộn tôm chiên,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/thit-xong-khoi-cuon-tom-chien/80fd.jpg,N/A,http://www.amthuc365.vn/cong-thuc/70-thit-xong-khoi-cuon-tom-chien.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"- Tôm làm sạch, lột vỏ, bỏ đầu, rút sợi ở lưng và bụng.- Ướp tôm với chút muối và bột tỏi.- Cắt đôi dải thịt xông khói thành 10 miếng ngắn hơn, đủ để cuộn quanh con tôm."
Gỏi cá ngừ cuốn diếp,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/goi-ca-ngu-cuon-diep/817f.jpg,N/A,http://www.amthuc365.vn/cong-thuc/69-goi-ca-ngu-cuon-diep.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Cá ngừ cắt thanh vuông 2x2cm, sau khi ướp mè và một chút muối tiêu, áp chảo cho chín vừa, để nguội."
Thịt bò cuốn hành,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/thit-bo-cuon-hanh/9d5c.jpg,N/A,http://www.amthuc365.vn/cong-thuc/72-thit-bo-cuon-hanh.html,Chuẩn bị: 15 phút,Thực hiện: 30 phút,"Cho 2 lít nước vào nồi đun sôi trên lửa vừa, thêm ½ muỗng canh muối vào, sau đó cho hành hòa và chần qua cho mềm, khoảng 45 giây. Bỏ hành lá ra bát nước đá và vớt ra để ráo nước.Cắt thịt bò bằng dao sắc thành lát dài. Xếp các lát thịt vào giấy bóng, sau đó phủ một lớp giấy bóng khác lên và đập nhẹ để chúng mềm và dễ cuốn."
Kimbap Hàn Quốc,,http://gl.amthuc365.vn/thumbnails/415/305///uploads/content/7c5e588fc628eb94b0c418c8a16b1ee2.jpg,3-5 người,http://www.amthuc365.vn/cong-thuc/74-kimbap-han-quoc.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Trải tấm tre lên mặt thớt, đặt một tấm lá rong biển lên trên. Trải đều cơm đến khoảng 2/3 lá, chừa một đoạn đầu tiên, chú ý lớp cơm không nên rải quá dày, khi cuộn kimbap sẽ quá to. Trên lá rong biển có những vạch ngang song song, dùng những vạch này để làm mốc giới hạn trét cơm cho thẳng."
Làm sushi chay,"- Nấu cơm để chín cho ra thố để gần nguội và cho lên miếng rong biển gói chung với rau củ, cơm sẽ dẻo và thơm hơn.",http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/lam-sushi-chay/e530.jpg,N/A,http://www.amthuc365.vn/cong-thuc/76-lam-sushi-chay.html,Chuẩn bị: 15 phút,Thực hiện: 20 phút,"Gạo vo kỹ, nấu chín hơi khô, cho vào ít muối, xới đều."
Gỏi rong biển thanh mát,"Ở Hà Nội, có thể mua rong biển tươi ở siêu thị Intimex (gần hồ Hoàn Kiếm).",http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/goi-rong-bien-thanh-mat/182b.jpg,N/A,http://www.amthuc365.vn/cong-thuc/77-goi-rong-bien-thanh-mat.html,Chuẩn bị: 10 phút,Thực hiện: 10 phút,"Thịt chân giò hoặc thịt ba chỉ, rửa sạch, luộc vừa chín tới"
Sushi Nhật Bản,"Cá hồi, cá tuyết trong món này ăn sống nên phải chọn loại thật tươi và có nguồn gốc rõ ràng, bảo đảm.",http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/sushi-nhat-ban/fe7a.jpg,N/A,http://www.amthuc365.vn/cong-thuc/78-sushi-nhat-ban.html,Chuẩn bị: 10 phút,Thực hiện: 35 phút,"Trộn cơm gạo Nhật với nước trộn sushi, nắm thành 4 nắm vừa ăn. Dọn cá hồi, cá tuyết ra đĩa, đặt lươn nướng và tôm chiên lên nắm cơm. Dọn dùng kèm củ cải, bắp cải, gừng chua, mù tạc, chấm nước tương Nhật."
Sushi thịt xông khói chay,,http://gl.amthuc365.vn/thumbnails/415/305///uploads//content/2012/03/09/sushi-thit-xong-khoi-chay-cho-ram-thang-gieng/e80b.jpg,N/A,http://www.amthuc365.vn/cong-thuc/75-sushi-thit-xong-khoi-chay.html,Chuẩn bị: 15 phút,Thực hiện: 25 phút,"- Gạo vo kỹ, nấu chín hơi khô,cho vào ít muối, xới đều.- Cà rốt gọt vỏ, cắt cọng vuông dài bằng rong biển. Đậu cô-ve tước xơ. Luộc đậu và cà rốt vừa chín. Thịt xông khói cắt cọng vuông dài."
